tolerance,maxbonddim,u,beta,R,ndims,time_setup,time_makeverts,time_interpolateverts,time_makevertsdiagonal,time_calculatebse,maxlinkdim_full,maxlinkdim_chi0,maxlinkdim_gamma,maxlinkdim_phi,length_full,length_chi0,length_gamma,length_phi,nparameters_full,nparameters_chi0,nparameters_gamma,nparameters_phi
0.01,80,10.0,1.0,5,1,4.295e-5,2.094e-6,3.448441273,0.064967991,0.027907091,5,3,5,10,1,1,1,1,1180,332,1180,1140
0.01,80,10.0,1.0,6,1,5.0444e-5,2.134e-6,5.757495772,0.099583824,0.031424963,6,3,6,8,1,1,1,1,1840,336,1752,1436
0.01,80,10.0,10.0,2,1,3.5626e-5,1.754e-6,0.139730937,0.013452613,0.033146535,1,2,1,2,1,1,1,1,32,88,32,40
0.01,80,10.0,10.0,3,1,3.9383e-5,1.373e-6,0.447736926,0.018228139,0.01490998,1,3,1,2,1,1,1,1,48,168,48,60
0.01,80,10.0,10.0,4,1,3.6829e-5,2.274e-6,1.299318703,0.038826704,0.027803015,3,4,3,4,1,1,1,1,244,224,232,146
0.01,80,10.0,10.0,5,1,3.8351e-5,1.522e-6,2.99878102,0.053000726,0.024994971,4,5,4,8,1,1,1,1,484,340,484,422
0.01,80,10.0,10.0,6,1,4.1298e-5,1.683e-6,4.061910525,0.080417518,0.041253944,5,3,4,8,1,1,1,1,1072,328,740,724
0.01,80,10.0,100.0,2,1,3.4214e-5,1.563e-6,0.092000863,0.010312847,0.009428744,1,2,1,2,1,1,1,1,32,88,32,40
0.01,80,10.0,100.0,3,1,3.205e-5,1.593e-6,0.17304349,0.019819907,0.031761122,1,3,1,2,1,1,1,1,48,216,48,60
0.01,80,10.0,100.0,4,1,3.6919e-5,1.613e-6,0.296505322,0.020092458,0.038209267,1,3,1,2,1,1,1,1,64,232,64,80
0.01,80,10.0,100.0,5,1,4.0495e-5,1.773e-6,0.566860621,0.028040009,0.038113187,1,3,1,2,1,1,1,1,80,240,80,100
0.01,80,10.0,100.0,6,1,4.0146e-5,1.713e-6,1.250461184,0.050654315,0.038265953,1,3,1,2,1,1,1,1,96,272,96,120
0.01,80,100.0,1.0,2,1,3.4164e-5,1.873e-6,0.104209567,0.036617228,0.009483124,1,1,1,2,1,1,1,1,32,32,32,40
0.01,80,100.0,1.0,3,1,3.5927e-5,1.794e-6,0.332314787,0.019294233,0.015018623,1,1,1,2,1,1,1,1,48,48,48,60
